"","Player","Position","MIN","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","GameId"
"9139","J. Fredette","G",27,3,6,0,3,2,2,1,5,6,4,1,0,4,0,8,148
"10131","L. Morgan","Jr.G",28,4,5,2,2,2,2,0,0,0,5,0,0,3,1,12,148
"11125","L. Cummard","G",38,6,11,3,4,1,2,1,9,10,6,0,1,4,2,16,148
"1303","J. Tavernari","F",39,5,13,2,6,2,2,2,4,6,0,1,0,2,3,14,149
"2144","C. Miles","F-C",37,6,10,0,0,2,9,2,4,6,2,3,0,2,4,14,149
"3144","L. Cummard","G",41,10,14,3,3,0,0,0,7,7,3,3,1,1,5,23,149
"4144","J. Emery","G",37,2,8,1,5,2,2,1,5,6,3,2,1,1,5,7,149
"5144","J. Fredette","G",37,6,13,2,5,7,8,0,4,4,10,2,1,3,4,21,149
"7140","N. Hartsock","F",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149
"8140","C. Abouo","G-F",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149
"9140","J. Anderson","F-C",7,2,2,0,0,0,0,0,1,1,0,0,0,0,4,4,149
"10132","G. MacGregor","F-C",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,149
"11126","A. Rose","G",1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,149
"12101","L. Morgan","Jr.G",15,2,3,1,1,0,1,0,1,1,2,0,0,0,1,5,149
"1304","N. Hartsock","F",21,4,5,0,0,3,5,3,1,4,1,1,1,0,4,11,150
"2145","J. Tavernari","F",23,2,8,1,5,0,0,1,4,5,2,2,0,1,4,5,150
"3145","C. Abouo","G-F",15,1,4,0,1,0,0,0,3,3,0,0,0,1,2,2,150
"4145","J. Anderson","F-C",7,2,3,0,0,0,2,1,0,1,0,0,0,0,3,4,150
"5145","C. Miles","F-C",30,5,8,0,0,2,4,0,4,4,3,2,1,1,3,12,150
"7141","J. Emery","G",6,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,150
"8141","J. Fredette","G",31,11,13,4,6,2,2,0,2,2,4,2,0,2,2,28,150
"9141","A. Rose","G",6,0,2,0,1,0,0,1,0,1,0,0,0,2,2,0,150
"10133","L. Morgan","Jr.G",26,2,4,0,0,1,2,0,3,3,4,1,0,0,2,5,150
"11127","L. Cummard","G",35,7,12,1,4,2,2,1,8,9,4,0,2,0,0,17,150
"1305","J. Tavernari","F",36,7,14,1,3,2,2,0,6,6,2,3,0,1,2,17,151
"2146","C. Miles","F-C",21,3,6,0,0,4,4,0,4,4,1,1,1,0,3,10,151
"3146","L. Cummard","G",35,4,6,0,1,4,4,1,9,10,3,0,1,3,4,12,151
"4146","J. Emery","G",24,2,4,2,3,2,2,0,3,3,2,2,2,0,4,8,151
"5146","J. Fredette","G",37,6,10,4,5,4,4,0,2,2,3,1,0,2,0,20,151
"7142","N. Hartsock","F",13,1,1,0,0,0,0,0,1,1,1,0,1,0,1,2,151
"8142","C. Abouo","G-F",5,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,151
"9142","J. Anderson","F-C",8,0,3,0,0,0,2,2,0,2,1,0,0,0,1,0,151
"10134","A. Rose","G",3,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,151
"11128","L. Morgan","Jr.G",18,1,3,0,1,0,0,0,1,1,2,0,0,3,2,2,151
"1306","N. Hartsock","F",13,1,1,0,0,0,2,0,4,4,0,0,1,2,2,2,152
"2147","J. Tavernari","F",28,8,11,5,5,0,0,1,10,11,4,0,0,1,1,21,152
"3147","C. Abouo","G-F",17,3,5,2,2,3,5,0,6,6,1,0,0,0,2,11,152
"4147","J. Anderson","F-C",23,8,11,0,0,0,1,2,5,7,0,1,2,1,4,16,152
"5147","C. Miles","F-C",16,4,6,0,0,0,0,2,0,2,2,0,0,2,2,8,152
"7143","J. Emery","G",20,1,1,1,1,0,0,0,3,3,8,1,0,3,2,3,152
"8143","J. Fredette","G",33,5,10,2,4,3,3,0,3,3,4,1,0,2,1,15,152
"9143","A. Rose","G",4,0,1,0,1,2,2,0,0,0,0,0,0,1,0,2,152
"10135","L. Morgan","Jr.G",24,1,2,0,1,0,0,0,3,3,5,0,1,2,1,2,152
"11129","L. Cummard","G",22,6,9,0,2,2,2,0,5,5,4,0,0,4,3,14,152
"1307","J. Tavernari","F",29,8,13,2,5,1,1,0,6,6,0,1,0,3,5,19,153
"2148","C. Miles","F-C",28,3,4,0,0,2,3,1,2,3,3,1,1,3,4,8,153
"3148","L. Cummard","G",35,6,10,2,2,10,10,0,5,5,2,2,2,1,1,24,153
"4148","J. Emery","G",24,2,3,2,3,0,0,0,1,1,1,0,0,1,2,6,153
"5148","J. Fredette","G",37,6,10,1,2,3,5,1,4,5,5,1,0,2,1,16,153
"7144","N. Hartsock","F",3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,153
"8144","C. Abouo","G-F",6,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,153
"9144","J. Anderson","F-C",11,2,2,0,0,0,0,1,1,2,0,1,0,0,4,4,153
"10136","A. Rose","G",6,0,0,0,0,2,2,0,0,0,0,0,0,2,1,2,153
"11130","L. Morgan","Jr.G",21,0,2,0,0,0,1,0,1,1,4,0,0,0,0,0,153
"1308","N. Hartsock","F",10,0,1,0,0,0,0,2,1,3,0,0,0,1,1,0,154
"2149","J. Tavernari","F",37,9,17,3,5,1,3,0,7,7,1,0,0,1,2,22,154
"3149","C. Abouo","G-F",6,1,2,0,0,1,2,1,0,1,0,0,1,1,1,3,154
"4149","J. Anderson","F-C",16,0,2,0,0,1,2,0,1,1,1,0,1,2,5,1,154
"5149","C. Miles","F-C",12,1,5,0,0,3,4,2,2,4,2,0,1,1,4,5,154
"7145","J. Emery","G",38,7,9,3,3,2,2,1,5,6,2,2,0,1,3,19,154
"8145","J. Fredette","G",34,5,13,0,3,0,2,0,6,6,6,1,0,2,2,10,154
"9145","L. Morgan","Jr.G",11,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,154
"10137","L. Cummard","G",36,4,14,1,6,4,4,1,5,6,5,0,0,1,2,13,154
"1309","J. Tavernari","F",34,7,15,5,9,0,0,0,11,11,1,0,0,2,2,19,155
"2150","C. Miles","F-C",19,5,9,0,0,0,0,2,3,5,0,0,2,1,2,10,155
"3150","J. Emery","G",32,3,6,0,2,0,0,0,4,4,4,1,0,0,5,6,155
"4150","J. Fredette","G",37,5,14,0,2,3,4,0,3,3,3,1,0,1,3,13,155
"5150","L. Cummard","G",35,8,15,1,3,3,4,3,4,7,4,1,1,1,2,20,155
"7146","N. Hartsock","F",2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,155
"8146","C. Abouo","G-F",19,2,4,0,1,0,2,0,0,0,1,1,0,0,1,4,155
"9146","L. Morgan","Jr.G",22,0,1,0,0,2,2,0,1,1,4,1,0,2,2,2,155
"1335","J. Tavernari","F",38,4,10,2,5,1,2,2,4,6,0,1,1,0,2,11,156
"2151","C. Miles","F-C",18,1,3,0,0,0,0,1,1,2,0,0,1,1,2,2,156
"3151","J. Emery","G",38,3,7,2,5,4,4,1,5,6,4,2,0,2,3,12,156
"4151","J. Fredette","G",36,10,19,2,6,6,6,2,3,5,4,5,0,4,0,28,156
"5151","L. Cummard","G",30,3,12,1,3,2,2,1,4,5,1,2,1,1,4,9,156
"7147","N. Hartsock","F",25,3,4,0,0,1,3,4,3,7,0,2,1,1,2,7,156
"8147","C. Abouo","G-F",6,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,156
"9147","J. Anderson","F-C",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
"10138","L. Morgan","Jr.G",4,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,156
"1336","N. Hartsock","F",16,1,2,0,0,0,0,3,3,6,1,0,0,2,0,2,157
"2152","J. Tavernari","F",25,0,5,0,1,0,0,0,8,8,0,0,0,0,4,0,157
"3152","C. Abouo","G-F",9,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,157
"4152","J. Anderson","F-C",6,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,157
"5152","C. Miles","F-C",33,4,9,0,0,5,6,3,5,8,0,1,2,0,4,13,157
"7148","J. Emery","G",35,1,4,1,3,2,2,0,4,4,1,2,0,0,1,5,157
"8148","J. Fredette","G",38,8,16,1,3,8,9,0,0,0,3,2,0,1,0,25,157
"9148","A. Rose","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
"10139","L. Morgan","Jr.G",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
"11131","L. Cummard","G",36,6,17,1,1,3,5,1,6,7,4,2,2,2,2,16,157
"1337","J. Tavernari","F",35,7,16,3,6,2,3,1,10,11,0,0,1,0,3,19,158
"2153","C. Miles","F-C",24,1,7,0,0,2,2,5,3,8,0,1,1,3,3,4,158
"3153","L. Cummard","G",39,5,12,1,3,13,15,1,7,8,0,1,1,4,3,24,158
"4153","J. Emery","G",35,2,5,1,4,0,0,1,2,3,6,1,0,0,4,5,158
"5153","J. Fredette","G",36,4,13,1,4,6,6,1,7,8,2,0,0,3,3,15,158
"7149","N. Hartsock","F",12,0,1,0,0,2,2,1,1,2,0,0,2,0,1,2,158
"8149","C. Abouo","G-F",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,158
"9149","J. Anderson","F-C",10,3,4,0,0,1,3,2,3,5,0,1,0,1,3,7,158
"10140","L. Morgan","Jr.G",6,1,2,0,1,0,0,0,1,1,0,0,0,1,1,2,158
"1338","N. Hartsock","F",19,0,1,0,0,0,0,1,2,3,0,0,1,2,4,0,159
"2154","J. Tavernari","F",29,3,13,1,7,0,2,1,4,5,2,1,1,1,2,7,159
"3154","C. Abouo","G-F",5,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,159
"4154","J. Anderson","F-C",2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,159
"5154","C. Miles","F-C",16,0,1,0,0,0,0,1,1,2,0,0,1,1,2,0,159
"7150","J. Emery","G",40,4,7,0,3,7,9,2,4,6,1,6,0,1,2,15,159
"8150","J. Fredette","G",40,4,10,1,5,4,4,0,2,2,2,3,0,2,3,13,159
"9150","L. Morgan","Jr.G",10,1,2,0,1,0,0,0,0,0,1,0,0,1,1,2,159
"10141","L. Cummard","G",39,3,8,1,5,10,10,0,5,5,2,1,1,2,1,17,159
"1339","J. Tavernari","F",39,5,13,4,8,5,6,2,9,11,3,1,0,1,3,19,160
"2155","C. Miles","F-C",28,4,5,0,0,3,6,1,2,3,0,1,2,0,2,11,160
"3155","J. Emery","G",33,1,3,0,1,2,6,3,1,4,3,1,1,2,4,4,160
"4155","J. Fredette","G",36,5,10,4,7,7,7,0,3,3,2,2,1,5,2,21,160
"5155","L. Cummard","G",38,4,9,0,4,8,8,2,6,8,7,1,2,0,2,16,160
"7151","N. Hartsock","F",9,0,0,0,0,0,0,0,1,1,1,0,1,0,3,0,160
"8151","C. Abouo","G-F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
"9151","J. Anderson","F-C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
"10142","L. Morgan","Jr.G",17,2,5,1,2,4,4,0,1,1,0,0,0,0,2,9,160
"1340","J. Tavernari","F",31,2,8,1,4,0,0,1,3,4,0,1,0,1,0,5,161
"2156","C. Miles","F-C",25,2,4,0,0,3,6,4,3,7,3,0,1,0,2,7,161
"3156","J. Emery","G",28,2,6,1,4,0,0,0,0,0,1,2,0,1,5,5,161
"4156","J. Fredette","G",38,5,14,1,4,6,7,1,2,3,4,1,0,3,2,17,161
"5156","L. Cummard","G",40,4,10,1,3,2,2,2,2,4,2,0,1,1,2,11,161
"7152","N. Hartsock","F",20,3,5,0,0,1,2,2,3,5,0,0,2,0,2,7,161
"8152","C. Abouo","G-F",8,1,1,1,1,1,3,2,2,4,0,2,0,2,3,4,161
"9152","J. Anderson","F-C",6,2,2,0,0,2,3,1,1,2,0,0,2,0,1,6,161
"10143","L. Morgan","Jr.G",4,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,161
"1341","N. Hartsock","F",38,3,7,0,0,2,2,1,2,3,1,0,0,1,1,8,162
"2157","C. Miles","F-C",22,1,1,0,0,0,0,1,3,4,2,0,0,1,2,2,162
"3157","T. Haws","G",21,3,5,0,0,4,4,1,0,1,2,1,0,0,2,10,162
"4157","J. Emery","G",40,2,7,2,5,2,4,2,5,7,1,1,0,1,4,8,162
"5157","J. Fredette","G",46,13,26,3,8,8,10,1,1,2,3,2,1,5,1,37,162
"7153","B. Davies","F",19,0,1,0,0,0,2,1,5,6,0,1,1,2,4,0,162
"8153","J. Tavernari","F",19,2,6,2,5,0,0,0,3,3,1,3,0,0,2,6,162
"9153","C. Abouo","G-F",10,1,2,0,0,0,0,0,1,1,1,0,0,0,0,2,162
"10144","M. Loyd","Jr.G",35,7,10,3,5,9,10,0,2,2,0,4,0,2,1,26,162
"1342","N. Hartsock","F",31,3,7,0,0,2,2,4,4,8,2,1,0,0,5,8,163
"2158","C. Miles","F-C",12,0,1,0,0,0,0,1,2,3,0,0,0,2,3,0,163
"3158","T. Haws","G",29,4,6,0,0,6,6,0,3,3,1,0,0,0,2,14,163
"4158","J. Emery","G",31,4,7,3,6,2,2,0,2,2,3,1,1,2,2,13,163
"5158","J. Fredette","G",36,5,13,1,4,10,11,0,3,3,5,1,0,5,2,21,163
"7154","L. Magnusson","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
"8154","B. Davies","F",13,1,2,0,0,3,4,0,1,1,0,1,0,2,5,5,163
"9154","J. Tavernari","F",18,3,10,1,4,0,0,0,1,1,1,2,0,1,3,7,163
"10145","C. Abouo","G-F",11,0,2,0,0,2,3,1,1,2,0,0,0,0,1,2,163
"11132","J. Anderson","F-C",2,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,163
"12102","L. Morgan","Jr.G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
"1343","M. Loyd","Jr.G",14,1,5,0,2,0,0,0,0,0,0,1,0,1,1,2,163
"1412","B. Zylstra","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163
"1344","L. Magnusson","F",2,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,164
"2159","B. Davies","F",10,1,1,0,0,1,4,3,0,3,0,0,1,2,4,3,164
"3159","N. Hartsock","F",15,2,2,0,0,0,0,2,0,2,0,0,1,0,3,4,164
"4159","J. Tavernari","F",33,5,18,3,8,0,0,0,4,4,0,1,0,4,3,13,164
"5159","C. Abouo","G-F",18,2,7,0,1,0,0,3,2,5,0,2,1,2,2,4,164
"7155","J. Anderson","F-C",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,164
"8155","C. Miles","F-C",17,1,2,0,0,0,0,1,2,3,2,0,0,0,1,2,164
"9155","T. Haws","G",19,0,2,0,0,4,6,2,5,7,2,0,0,0,3,4,164
"10146","J. Emery","G",22,1,4,1,3,2,2,0,6,6,2,1,0,1,4,5,164
"11133","J. Fredette","G",37,6,14,1,5,12,14,1,4,5,4,0,0,2,1,25,164
"12103","L. Morgan","Jr.G",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
"1345","M. Loyd","Jr.G",22,4,4,2,2,0,1,0,4,4,0,1,0,0,1,10,164
"1346","L. Magnusson","F",6,1,2,0,0,0,0,0,3,3,0,0,0,0,0,2,165
"2160","B. Davies","F",14,0,1,0,0,2,2,1,3,4,1,0,1,0,2,2,165
"3160","N. Hartsock","F",21,2,3,0,0,2,2,2,3,5,2,1,2,0,0,6,165
"4160","J. Tavernari","F",21,2,12,0,6,0,0,2,4,6,2,1,0,0,2,4,165
"5160","C. Abouo","G-F",10,3,4,0,0,2,2,2,4,6,1,1,1,1,1,8,165
"7156","J. Anderson","F-C",4,1,1,0,0,1,2,1,1,2,0,0,0,0,0,3,165
"8156","C. Miles","F-C",15,1,4,0,0,2,2,2,2,4,0,0,1,0,1,4,165
"9156","T. Haws","G",24,4,7,0,3,1,1,0,5,5,6,1,2,0,4,9,165
"10147","J. Emery","G",26,6,9,5,8,2,2,3,4,7,3,3,0,2,4,19,165
"11134","J. Fredette","G",30,7,13,2,3,6,7,2,1,3,2,3,0,3,0,22,165
"12104","L. Morgan","Jr.G",10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,165
"1347","M. Loyd","Jr.G",17,2,6,1,4,1,2,0,2,2,2,0,0,3,0,6,165
"1413","B. Zylstra","G",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,165
"1348","J. Tavernari","F",29,7,14,3,7,0,0,0,5,5,1,2,0,0,2,17,166
"2161","C. Miles","F-C",3,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,166
"3161","T. Haws","G",25,4,9,0,2,4,4,0,0,0,1,1,0,1,3,12,166
"4161","J. Emery","G",27,4,7,1,4,2,4,2,4,6,2,3,1,2,2,11,166
"5161","J. Fredette","G",32,9,14,0,2,2,2,0,0,0,8,2,1,2,2,20,166
"7157","L. Magnusson","F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166
"8157","B. Davies","F",10,3,3,0,0,0,0,0,1,1,1,0,0,1,1,6,166
"9157","N. Hartsock","F",26,2,4,0,0,1,1,3,4,7,0,1,1,2,3,5,166
"10148","C. Abouo","G-F",14,1,3,0,0,0,0,1,0,1,0,1,0,1,2,2,166
"11135","J. Anderson","F-C",10,0,1,0,0,0,0,3,1,4,0,0,0,0,2,0,166
"12105","L. Morgan","Jr.G",7,1,2,0,0,0,0,1,0,1,2,1,0,1,0,2,166
"1349","M. Loyd","Jr.G",14,2,3,2,2,0,0,0,0,0,0,0,0,0,0,6,166
"1414","B. Zylstra","G",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,166
"1350","L. Magnusson","F",11,1,2,1,2,0,0,2,3,5,1,0,0,1,0,3,167
"2162","B. Davies","F",18,4,7,0,0,0,0,2,6,8,0,1,1,2,3,8,167
"3162","N. Hartsock","F",14,3,5,0,0,2,2,2,3,5,0,0,0,1,1,8,167
"4162","J. Tavernari","F",15,6,12,2,7,0,0,2,2,4,1,2,1,0,0,14,167
"5162","C. Abouo","G-F",17,3,5,2,2,3,4,1,2,3,3,1,1,1,0,11,167
"7158","J. Anderson","F-C",6,2,3,0,0,0,0,1,0,1,0,2,0,1,2,4,167
"8158","C. Miles","F-C",17,6,8,0,0,2,2,2,3,5,1,0,0,1,0,14,167
"9158","T. Haws","G",23,2,7,0,1,1,1,1,3,4,0,1,0,0,0,5,167
"10149","J. Emery","G",23,5,10,4,6,2,2,0,3,3,2,5,0,1,2,16,167
"11136","J. Fredette","G",18,5,11,2,2,0,0,2,1,3,10,4,0,0,1,12,167
"12106","L. Morgan","Jr.G",22,2,3,0,0,0,0,0,2,2,7,1,0,2,0,4,167
"1351","M. Loyd","Jr.G",11,2,2,2,2,0,0,0,1,1,2,0,0,1,1,6,167
"1415","B. Zylstra","G",5,1,3,0,1,0,0,0,1,1,0,0,0,0,0,2,167
"1352","L. Magnusson","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
"2163","B. Davies","F",11,3,3,0,0,4,4,2,2,4,0,1,0,0,1,10,168
"3163","N. Hartsock","F",19,2,3,1,1,0,0,0,3,3,0,1,1,0,0,5,168
"4163","J. Tavernari","F",32,5,10,1,2,3,4,0,7,7,1,2,0,1,4,14,168
"5163","C. Abouo","G-F",13,0,4,0,2,5,6,2,1,3,1,1,1,0,1,5,168
"7159","J. Anderson","F-C",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,168
"8159","C. Miles","F-C",14,2,3,0,0,1,2,1,2,3,0,0,0,1,2,5,168
"9159","T. Haws","G",23,1,5,0,0,3,4,2,1,3,1,2,0,2,0,5,168
"10150","J. Emery","G",22,5,8,4,6,1,2,0,3,3,1,2,0,1,4,15,168
"11137","J. Fredette","G",32,5,13,3,5,10,10,0,2,2,7,1,1,2,1,23,168
"12107","L. Morgan","Jr.G",11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,168
"1353","M. Loyd","Jr.G",19,2,2,0,0,1,1,0,0,0,1,1,0,3,1,5,168
"1416","B. Zylstra","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168
"1354","J. Tavernari","F",26,1,11,1,5,1,2,1,7,8,1,1,0,1,0,4,169
"2164","C. Miles","F-C",22,5,9,0,0,1,1,1,4,5,1,0,1,0,4,11,169
"3164","T. Haws","G",26,4,7,0,1,0,1,2,1,3,0,1,0,1,2,8,169
"4164","J. Emery","G",26,2,6,2,6,2,2,0,0,0,0,1,0,0,4,8,169
"5164","J. Fredette","G",35,5,15,3,6,6,6,2,5,7,2,1,0,3,1,19,169
"7160","L. Magnusson","F",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,169
"8160","B. Davies","F",7,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,169
"9160","N. Hartsock","F",22,2,3,0,0,0,0,0,4,4,1,0,2,0,2,4,169
"10151","C. Abouo","G-F",15,1,1,0,0,3,5,0,2,2,0,0,0,3,4,5,169
"11138","J. Anderson","F-C",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,169
"12108","L. Morgan","Jr.G",6,1,1,0,0,0,0,0,1,1,3,0,0,0,0,2,169
"1355","M. Loyd","Jr.G",11,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,169
"1417","B. Zylstra","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
"1356","L. Magnusson","F",3,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,170
"2165","B. Davies","F",15,1,2,0,0,2,2,0,3,3,0,0,1,4,3,4,170
"3165","N. Hartsock","F",28,1,2,0,0,0,0,0,5,5,2,2,2,0,2,2,170
"4165","J. Tavernari","F",25,4,9,2,5,0,0,0,2,2,0,0,0,0,2,10,170
"5165","C. Abouo","G-F",8,1,4,0,1,2,2,1,1,2,1,1,0,1,0,4,170
"7161","J. Anderson","F-C",4,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,170
"8161","C. Miles","F-C",15,2,4,0,0,1,1,1,2,3,0,0,1,0,4,5,170
"9161","T. Haws","G",26,5,8,0,3,2,2,0,0,0,0,0,0,1,2,12,170
"10152","J. Emery","G",29,5,7,3,5,1,1,0,4,4,2,4,0,3,3,14,170
"11139","J. Fredette","G",28,4,8,1,2,4,4,0,3,3,6,2,0,5,1,13,170
"12109","L. Morgan","Jr.G",12,2,2,1,1,0,0,0,0,0,3,1,0,0,0,5,170
"1357","M. Loyd","Jr.G",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
"1418","B. Zylstra","G",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
"1358","N. Hartsock","F",25,6,9,0,0,1,1,1,3,4,0,1,0,0,1,13,171
"2166","C. Miles","F-C",12,2,2,0,0,2,3,1,1,2,0,1,0,1,4,6,171
"3166","T. Haws","G",37,5,10,1,3,6,6,5,6,11,3,0,0,2,1,17,171
"4166","J. Emery","G",26,5,9,5,9,2,3,0,5,5,2,1,0,1,3,17,171
"5166","J. Fredette","G",38,1,13,0,5,8,8,0,4,4,6,1,0,0,0,10,171
"7162","B. Davies","F",17,1,1,0,0,0,0,1,2,3,1,0,0,1,3,2,171
"8162","J. Tavernari","F",25,2,8,1,3,4,4,0,5,5,4,1,1,1,2,9,171
"9162","C. Abouo","G-F",10,2,2,1,1,0,0,0,0,0,0,0,0,0,3,5,171
"10153","L. Morgan","Jr.G",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,171
"11140","M. Loyd","Jr.G",4,1,3,0,2,0,0,0,0,0,2,1,0,0,1,2,171
"1359","B. Davies","F",6,0,0,0,0,1,4,1,1,2,1,0,1,0,3,1,172
"2167","N. Hartsock","F",26,4,5,0,0,1,3,1,10,11,0,0,1,0,2,9,172
"3167","J. Tavernari","F",23,4,11,2,6,0,0,0,4,4,1,2,0,3,3,10,172
"4167","C. Abouo","G-F",3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,172
"5167","J. Anderson","F-C",3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,172
"7163","C. Miles","F-C",28,0,2,0,0,0,0,3,5,8,3,2,2,1,2,0,172
"8163","T. Haws","G",36,7,11,3,5,0,0,1,3,4,1,0,0,3,3,17,172
"9163","J. Emery","G",15,1,8,0,5,2,2,0,0,0,0,4,0,0,2,4,172
"10154","J. Fredette","G",35,8,16,4,8,4,5,2,1,3,7,2,0,7,2,24,172
"11141","L. Morgan","Jr.G",10,1,2,1,2,0,0,0,0,0,1,0,0,1,0,3,172
"12110","M. Loyd","Jr.G",15,2,4,0,1,0,0,0,0,0,3,0,0,2,0,4,172
"1360","L. Magnusson","F",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
"2168","B. Davies","F",15,0,3,0,0,0,2,1,2,3,1,0,1,2,1,0,173
"3168","N. Hartsock","F",24,5,8,0,0,2,3,3,5,8,4,1,3,0,4,12,173
"4168","J. Tavernari","F",19,7,12,0,2,0,0,0,4,4,0,1,0,0,1,14,173
"5168","C. Abouo","G-F",19,1,4,0,1,0,2,3,2,5,3,1,0,3,3,2,173
"7164","J. Anderson","F-C",6,2,2,0,0,3,4,1,4,5,0,0,0,0,2,7,173
"8164","C. Miles","F-C",13,3,6,0,0,0,2,0,2,2,0,0,1,0,0,6,173
"9164","T. Haws","G",22,6,12,1,3,3,3,1,4,5,1,0,0,1,2,16,173
"10155","J. Emery","G",16,1,4,0,3,0,0,0,3,3,5,0,2,2,3,2,173
"11142","J. Fredette","G",28,2,5,0,1,5,6,0,1,1,2,2,0,3,0,9,173
"12111","L. Morgan","Jr.G",18,1,1,1,1,2,2,0,2,2,2,1,0,2,0,5,173
"1361","M. Loyd","Jr.G",12,0,1,0,0,4,6,0,2,2,4,2,0,0,0,4,173
"1419","B. Zylstra","G",4,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,173
"1362","L. Magnusson","F",12,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,174
"2169","B. Davies","F",17,5,5,0,0,2,2,0,0,0,0,0,1,0,2,12,174
"3169","N. Hartsock","F",20,1,3,0,0,0,0,0,2,2,0,0,2,1,2,2,174
"4169","J. Tavernari","F",5,2,5,1,2,0,0,1,0,1,0,0,0,0,1,5,174
"5169","C. Abouo","G-F",17,2,3,1,1,4,6,1,1,2,2,0,0,0,2,9,174
"7165","J. Anderson","F-C",8,1,1,0,0,0,0,1,3,4,0,0,0,1,3,2,174
"8165","C. Miles","F-C",16,3,3,0,0,0,0,0,3,3,0,2,2,1,3,6,174
"9165","T. Haws","G",19,5,6,2,2,2,2,3,4,7,0,3,0,2,0,14,174
"10156","J. Emery","G",23,6,7,2,3,1,3,2,5,7,4,3,0,1,0,15,174
"11143","J. Fredette","G",22,7,14,1,4,5,5,1,1,2,6,2,0,2,0,20,174
"12112","L. Morgan","Jr.G",16,0,0,0,0,1,2,0,1,1,2,0,0,2,1,1,174
"1363","M. Loyd","Jr.G",19,1,3,0,0,1,2,0,5,5,4,0,0,2,0,3,174
"1420","B. Zylstra","G",6,1,3,0,0,0,0,1,3,4,0,0,0,1,0,2,174
"1364","B. Davies","F",10,3,5,0,0,2,2,1,2,3,0,1,0,1,4,8,175
"2170","N. Hartsock","F",24,5,6,0,0,2,2,3,3,6,3,0,1,1,4,12,175
"3170","J. Tavernari","F",29,1,5,0,2,0,0,0,4,4,3,2,0,4,3,2,175
"4170","C. Abouo","G-F",8,1,2,0,0,0,0,0,2,2,0,0,0,0,0,2,175
